时间步,模式,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
0,train,845,60,60,1.0,32.6,50.0,84.91666666666667,167.51666666666668,366.0,0.1166666666666667,5.416666666666667,8.833333333333334,4.529411764705882,1.894736842105263,86238.5406429925
845,test,986,60,60,1.0,97.2,57.36666666666667,101.46666666666667,256.03333333333336,917.0,0.41666666666666663,52.11666666666667,89.5,28.428571428571427,39.92857142857143,100570.17414881127
845,train,789,60,60,1.0,37.833333333333336,55.28333333333333,85.48333333333333,178.6,401.0,0.21666666666666667,10.483333333333333,16.04,7.842105263157895,4.9375,87153.17715896295
1634,train,901,60,60,1.0,56.6,53.65,90.35,200.6,583.0,0.21666666666666667,21.416666666666668,24.85,31.863636363636363,4.833333333333333,89779.00234512055
2535,train,847,60,60,1.0,59.61666666666667,50.266666666666666,101.53333333333333,211.41666666666666,484.0,0.2666666666666667,26.15,24.956521739130434,21.3125,31.142857142857142,93852.15343105534
3382,train,881,60,60,1.0,49.7,54.916666666666664,92.63333333333334,197.25,410.0,0.2666666666666667,13.65,21.291666666666668,14.142857142857142,5.0,92512.6014184883
4263,train,962,60,60,1.0,65.43333333333334,57.61666666666667,117.73333333333333,240.78333333333333,499.0,0.3833333333333333,36.11666666666667,28.53846153846154,47.46153846153846,38.476190476190474,101991.15878889276
5225,train,983,60,60,1.0,76.81666666666666,60.93333333333333,117.18333333333334,254.93333333333334,564.0,0.44999999999999996,52.916666666666664,38.689655172413794,44.27777777777778,96.61538461538461,102468.76007897212
6208,train,821,60,60,1.0,41.65,62.083333333333336,84.2,187.93333333333334,456.0,0.16666666666666663,9.883333333333333,17.047619047619047,6.647058823529412,5.545454545454546,86500.61706357471
7029,train,864,60,60,1.0,45.516666666666666,58.78333333333333,91.71666666666667,196.01666666666668,452.0,0.16666666666666663,15.466666666666667,23.181818181818183,10.55,11.5,88814.40642506283
7893,train,1024,60,60,1.0,89.26666666666667,58.9,118.43333333333334,266.6,742.0,0.44999999999999996,62.516666666666666,54.55,82.47368421052632,52.04761904761905,108148.00747770003
8917,train,826,60,60,1.0,41.38333333333333,56.28333333333333,94.06666666666666,191.73333333333332,424.0,0.25,17.75,33.285714285714285,10.166666666666666,8.714285714285714,88910.29497869057
9743,train,925,60,60,1.0,71.63333333333334,55.483333333333334,100.3,227.41666666666666,502.0,0.3666666666666667,27.166666666666668,30.045454545454547,47.578947368421055,3.4210526315789473,96640.6138849045
10668,train,861,60,60,1.0,24.0,54.93333333333333,91.78333333333333,170.71666666666667,407.0,0.06666666666666665,6.416666666666667,0.0,0.4583333333333333,19.68421052631579,88889.92742953238
11529,test,777,60,60,1.0,27.433333333333334,52.0,86.21666666666667,165.65,384.0,0.1333333333333333,8.883333333333333,0.0,17.0,6.913043478260869,82406.68032209521
11529,train,2000,59,60,0.9833333333333333,86.52542372881356,70.83050847457628,117.16949152542372,274.52542372881356,565.0,0.576271186440678,55.440677966101696,47.69230769230769,54.166666666666664,61.40909090909091,104615.18633656112
13529,train,973,60,60,1.0,78.48333333333333,58.06666666666667,101.1,237.65,737.0,0.30000000000000004,37.35,32.90909090909091,50.31578947368421,29.526315789473685,98160.9214762844
14502,train,885,60,60,1.0,70.65,56.06666666666667,112.95,239.66666666666666,618.0,0.3666666666666667,35.4,51.86666666666667,40.08,17.2,97390.12522136894
