source,episode,t_env,mode,completion_rate,on_time_rate,avg_delay,total_completed
backend_wx,1,0,train,0.7419354838709677,0.5652173913043478,73.21739130434783,23
backend_wx,2,1200,test,0.7037037037037037,0.6842105263157895,23.263157894736842,19
backend_wx,3,1200,test,0.7142857142857143,0.85,14.85,20
backend_wx,4,1200,test,0.7037037037037037,0.631578947368421,12.473684210526315,19
backend_wx,5,1200,test,0.7419354838709677,0.9130434782608695,11.652173913043478,23
backend_wx,6,1200,train,0.6923076923076923,0.4444444444444444,104.16666666666667,18
backend_wx,7,2400,train,0.7037037037037037,0.5789473684210527,113.10526315789474,19
backend_wx,8,3600,train,0.7241379310344828,0.5714285714285714,93.38095238095238,21
backend_wx,9,4800,train,0.6923076923076923,0.5555555555555556,139.16666666666666,18
backend_wx,10,6000,train,0.7419354838709677,0.6086956521739131,33.08695652173913,23
backend_wx,11,7200,train,0.7142857142857143,0.5,68.05,20
backend_wx,12,8400,train,0.6923076923076923,0.5555555555555556,88.88888888888889,18
backend_wx,13,9600,train,0.7037037037037037,0.631578947368421,77.15789473684211,19
backend_wx,14,10800,train,0.7647058823529411,0.6538461538461539,70.96153846153847,26
backend_wx,15,12000,train,0.7142857142857143,0.45,85.55,20
backend_wx,16,13200,test,0.7037037037037037,0.7368421052631579,43.05263157894737,19
backend_wx,17,13200,test,0.6923076923076923,0.7777777777777778,26.444444444444443,18
backend_wx,18,13200,test,0.6923076923076923,0.6666666666666666,21.77777777777778,18
backend_wx,19,13200,test,0.7241379310344828,0.8571428571428571,7.761904761904762,21
backend_wx,20,13200,train,0.7241379310344828,0.6190476190476191,59.285714285714285,21
backend_wx,21,14400,train,0.7241379310344828,0.6190476190476191,99.9047619047619,21
backend_wx,22,15600,train,0.7333333333333333,0.45454545454545453,104.77272727272727,22
backend_wx,23,16800,train,0.7241379310344828,0.7142857142857143,92.0,21
backend_wx,24,18000,train,0.7142857142857143,0.65,119.55,20
backend_wx,25,19200,train,0.7647058823529411,0.7307692307692307,25.307692307692307,26
backend_wx,26,20400,train,0.7142857142857143,0.5,90.55,20
backend_wx,27,21600,train,0.75,0.7083333333333334,36.208333333333336,24
backend_wx,28,22800,train,0.7142857142857143,0.65,75.95,20
backend_wx,29,24000,train,0.7142857142857143,0.45,66.0,20
backend_wx,30,25200,test,0.75,0.8333333333333334,13.666666666666666,24
