时间步,模式,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
0,train,948,60,60,1.0,42.25,58.75,97.9,198.9,476.0,0.25,19.566666666666666,18.24,36.5,3.588235294117647,94022.1925623496
948,test,923,60,60,1.0,65.98333333333333,51.96666666666667,106.18333333333334,224.13333333333333,648.0,0.2833333333333333,37.016666666666666,71.88888888888889,41.625,10.038461538461538,92796.45270761632
948,train,871,60,60,1.0,49.11666666666667,61.03333333333333,98.23333333333333,208.38333333333333,516.0,0.2666666666666667,24.733333333333334,37.76190476190476,26.423076923076923,0.3076923076923077,91956.53309862022
1819,train,924,60,60,1.0,70.91666666666667,55.46666666666667,83.3,209.68333333333334,421.0,0.31666666666666665,18.616666666666667,27.166666666666668,15.583333333333334,7.583333333333333,91749.89811641588
2743,train,977,60,60,1.0,72.5,55.833333333333336,104.18333333333334,232.51666666666668,527.0,0.30000000000000004,42.21666666666667,51.333333333333336,24.6,45.25,96880.41267390145
3720,train,857,60,60,1.0,22.566666666666666,58.03333333333333,83.23333333333333,163.83333333333334,388.0,0.15000000000000002,9.016666666666667,10.352941176470589,3.6315789473684212,12.333333333333334,87507.14590681554
4577,train,940,60,60,1.0,70.18333333333334,53.2,113.06666666666666,236.45,508.0,0.3666666666666667,38.7,39.82608695652174,49.8,24.11764705882353,99309.33960490751
5517,train,868,60,60,1.0,84.43333333333334,64.73333333333333,94.1,243.26666666666668,625.0,0.4666666666666667,42.81666666666667,29.8,65.1875,41.10526315789474,96440.85981367793
6385,train,942,60,60,1.0,61.5,52.0,93.63333333333334,207.13333333333333,484.0,0.21666666666666667,20.9,0.9565217391304348,36.25,31.047619047619047,93315.99837642323
7327,train,937,60,60,1.0,45.35,51.95,91.78333333333333,189.08333333333334,546.0,0.19999999999999996,17.966666666666665,9.56,30.642857142857142,19.523809523809526,91604.19476327
8264,train,885,60,60,1.0,65.61666666666666,65.95,94.08333333333333,225.65,554.0,0.33333333333333337,34.1,30.19047619047619,48.4,23.36842105263158,94028.72355007388
9149,train,935,60,60,1.0,36.78333333333333,56.516666666666666,104.26666666666667,197.56666666666666,424.0,0.25,17.033333333333335,12.5,23.75,14.636363636363637,92660.99381010007
10084,train,868,60,60,1.0,44.36666666666667,58.56666666666667,96.08333333333333,199.01666666666668,457.0,0.33333333333333337,17.416666666666668,14.916666666666666,14.15,25.25,91922.74988509578
10952,test,794,60,60,1.0,23.0,60.8,92.26666666666667,176.06666666666666,372.0,0.1333333333333333,8.4,5.090909090909091,12.9,7.444444444444445,89265.6102335952
10952,train,856,60,60,1.0,27.083333333333332,57.733333333333334,95.9,180.71666666666667,422.0,0.16666666666666663,11.466666666666667,8.9375,8.6,15.541666666666666,89921.16791067092
11808,train,968,60,60,1.0,91.9,61.1,116.66666666666667,269.6666666666667,695.0,0.5666666666666667,54.666666666666664,49.875,47.08,68.6842105263158,102006.97557982414
12776,train,941,60,60,1.0,64.03333333333333,58.266666666666666,106.16666666666667,228.46666666666667,564.0,0.2833333333333333,37.483333333333334,60.1,14.68421052631579,36.57142857142857,98947.87430843704
13717,train,2000,59,60,0.9833333333333333,88.20338983050847,62.45762711864407,114.35593220338983,265.0169491525424,606.0,0.423728813559322,57.08474576271186,75.64285714285714,48.34615384615385,55.36842105263158,108148.45696867224
15717,train,2000,59,60,0.9833333333333333,99.88135593220339,58.3728813559322,100.15254237288136,258.40677966101697,647.0,0.44067796610169496,50.16949152542373,52.3125,57.84615384615385,36.411764705882355,104423.62863989212
17717,train,976,60,60,1.0,71.55,65.38333333333334,101.3,238.23333333333332,515.0,0.4,41.2,46.166666666666664,51.56,27.347826086956523,96130.53526871113
18693,train,994,60,60,1.0,124.08333333333333,57.06666666666667,100.66666666666667,281.81666666666666,835.0,0.5666666666666667,65.88333333333334,67.31818181818181,55.6,75.55555555555556,102174.89297977083
19687,train,981,60,60,1.0,72.83333333333333,58.71666666666667,106.95,238.5,746.0,0.31666666666666665,37.31666666666667,25.789473684210527,20.2,64.04761904761905,99740.82111637981
20668,train,928,60,60,1.0,53.483333333333334,58.916666666666664,91.36666666666666,203.76666666666668,385.0,0.21666666666666667,16.35,18.176470588235293,19.52173913043478,11.15,93011.02721776739
21596,test,2000,59,60,0.9833333333333333,96.44067796610169,60.20338983050848,113.89830508474576,270.54237288135596,963.0,0.423728813559322,52.33898305084746,58.77777777777778,66.22727272727273,30.157894736842106,106357.87218342167
21596,train,959,60,60,1.0,67.76666666666667,53.083333333333336,99.13333333333334,219.98333333333332,703.0,0.25,32.68333333333333,53.26923076923077,29.923076923076923,8.904761904761905,95214.77902716289
22555,train,2000,59,60,0.9833333333333333,105.2542372881356,60.59322033898305,107.91525423728814,273.76271186440675,946.0,0.4915254237288136,55.86440677966102,50.857142857142854,77.48148148148148,27.333333333333332,104706.73699428605
24555,train,2000,59,60,0.9833333333333333,34.91525423728814,54.20338983050848,96.57627118644068,185.6949152542373,454.0,0.15254237288135597,13.338983050847459,0.0,7.4,26.0,89827.08180100258
26555,train,2000,57,60,0.95,74.14035087719299,61.21052631578947,107.80701754385964,243.1578947368421,689.0,0.38596491228070173,40.59649122807018,13.23076923076923,28.166666666666668,62.88461538461539,101827.09285321219
28555,train,890,60,60,1.0,75.13333333333334,59.38333333333333,110.58333333333333,245.1,678.0,0.35,46.233333333333334,17.59090909090909,57.55555555555556,67.55,97906.43251939841
29445,train,900,60,60,1.0,74.06666666666666,54.45,109.58333333333333,238.1,780.0,0.30000000000000004,36.15,44.94736842105263,39.94117647058823,26.5,96222.14918754462
30345,train,2000,59,60,0.9833333333333333,122.77966101694915,51.47457627118644,117.16949152542372,291.4237288135593,728.0,0.5932203389830508,70.03389830508475,68.9,69.61111111111111,71.47619047619048,105300.47835207533
32345,test,908,60,60,1.0,33.983333333333334,59.53333333333333,95.45,188.96666666666667,541.0,0.21666666666666667,23.4,35.30434782608695,18.176470588235293,14.15,87311.14146984623
32345,train,2000,59,60,0.9833333333333333,105.64406779661017,68.45762711864407,95.77966101694915,269.8813559322034,918.0,0.423728813559322,50.101694915254235,20.875,59.45,62.30434782608695,109927.59578639409
34345,train,900,60,60,1.0,62.53333333333333,56.35,89.03333333333333,207.91666666666666,549.0,0.2666666666666667,25.483333333333334,30.944444444444443,35.285714285714285,17.071428571428573,91365.35202556774
35245,train,918,60,60,1.0,65.91666666666667,50.9,103.56666666666666,220.38333333333333,542.0,0.30000000000000004,30.433333333333334,34.54545454545455,48.68421052631579,7.421052631578948,92670.3160938481
36163,train,868,60,60,1.0,82.36666666666666,53.46666666666667,103.08333333333333,238.91666666666666,575.0,0.33333333333333337,30.0,37.6551724137931,32.0,16.22222222222222,95673.39340499499
37031,train,893,60,60,1.0,51.46666666666667,61.3,96.48333333333333,209.25,686.0,0.25,26.866666666666667,75.41176470588235,7.294117647058823,7.923076923076923,96859.34034669137
37924,train,953,60,60,1.0,65.68333333333334,58.55,109.95,234.18333333333334,654.0,0.35,37.95,38.75,28.166666666666668,45.22727272727273,101301.05990118798
38877,train,897,60,60,1.0,54.78333333333333,45.666666666666664,97.58333333333333,198.03333333333333,494.0,0.21666666666666667,12.15,24.38888888888889,13.55,0.8636363636363636,92791.17833022292
39774,train,2000,59,60,0.9833333333333333,96.67796610169492,60.0,109.38983050847457,266.06779661016947,769.0,0.4576271186440678,56.271186440677965,50.388888888888886,85.19047619047619,31.2,106829.24178209044
