source,episode,t_env,mode,ep_length,on_time_rate,avg_delay,order_generate_rate,total_completed
backend_wx,104,90901,train,934,0.92,1.6,18.68,50
backend_wx,105,91835,train,898,0.96,2.44,17.96,50
backend_wx,106,92733,train,956,0.96,2.26,19.12,50
backend_wx,107,93689,test,867,0.96,0.48,17.34,50
backend_wx,108,93689,train,895,0.96,2.38,17.9,50
backend_wx,109,94584,train,882,0.98,0.24,17.64,50
backend_wx,110,95466,train,891,0.94,0.92,17.82,50
backend_wx,111,96357,train,1010,0.94,2.82,20.2,50
backend_wx,112,97367,train,967,0.94,4.78,19.34,50
backend_wx,113,98334,train,1008,0.9,5.34,20.16,50
backend_wx,114,99342,train,974,1.0,0.0,19.48,50
