source,episode,t_env,mode,ep_length,on_time_rate,avg_delay,order_generate_rate,total_completed,total_energy_consumed,avg_generation_time
backend_wx,1,0,train,2000,0.5625,29.1875,66.66666666666667,16,22409.690724010903,6.857142857142857
backend_wx,2,2000,test,2000,0.5625,42.0625,66.66666666666667,16,22885.225305566208,6.839285714285714
backend_wx,3,2000,train,2000,0.5333333333333333,50.0,66.66666666666667,15,22981.263071465895,7.125
backend_wx,4,4000,train,2000,0.5714285714285714,37.07142857142857,66.66666666666667,14,21777.18139943399,7.410714285714286
backend_wx,5,6000,train,2000,0.5882352941176471,18.294117647058822,66.66666666666667,17,23086.58220754231,7.892857142857143
backend_wx,6,8000,train,2000,0.7058823529411765,14.0,66.66666666666667,17,23150.33298755899,7.875
backend_wx,7,10000,train,2000,0.5,55.142857142857146,66.66666666666667,14,23187.87820004875,7.053571428571429
backend_wx,8,12000,test,2000,0.6428571428571429,37.214285714285715,66.66666666666667,14,22086.652551334522,7.839285714285714
backend_wx,9,12000,train,2000,0.35714285714285715,54.07142857142857,66.66666666666667,14,22274.809843573174,7.821428571428571
backend_wx,10,14000,train,2000,0.47058823529411764,35.76470588235294,66.66666666666667,17,23601.549353643106,7.803571428571429
backend_wx,11,16000,train,2000,0.5263157894736842,45.78947368421053,66.66666666666667,19,26708.555606697904,7.660714285714286
backend_wx,12,18000,train,2000,0.7058823529411765,35.1764705882353,66.66666666666667,17,23811.16567288451,7.767857142857143
backend_wx,13,20000,train,2000,0.4666666666666667,35.86666666666667,66.66666666666667,15,22520.623263856243,7.75
backend_wx,14,22000,test,2000,0.5333333333333333,43.266666666666666,66.66666666666667,15,22351.583107621787,7.732142857142857
backend_wx,15,22000,train,2000,0.6666666666666666,22.0,66.66666666666667,18,21996.54507965156,7.339285714285714
backend_wx,16,24000,train,2000,0.7894736842105263,22.42105263157895,66.66666666666667,19,22782.870140613737,7.321428571428571
backend_wx,17,26000,train,2000,0.4166666666666667,86.0,66.66666666666667,12,22840.378221042803,7.678571428571429
backend_wx,18,28000,train,2000,0.5,31.61111111111111,66.66666666666667,18,21926.72763057093,7.285714285714286
backend_wx,19,30000,train,2000,0.6666666666666666,22.055555555555557,66.66666666666667,18,21455.333189823505,7.267857142857143
backend_wx,20,32000,test,2000,0.5714285714285714,34.0,66.66666666666667,14,21083.030388895757,7.25
backend_wx,21,32000,train,2000,0.42857142857142855,39.357142857142854,66.66666666666667,14,22284.139414479123,7.232142857142857
backend_wx,22,34000,train,2000,0.7647058823529411,18.941176470588236,66.66666666666667,17,22085.21740920332,7.214285714285714
backend_wx,23,36000,train,2000,0.625,43.625,66.66666666666667,16,22147.446766371097,7.196428571428571
backend_wx,24,38000,train,2000,0.5625,21.9375,66.66666666666667,16,21434.577124426036,7.178571428571429
backend_wx,25,40000,train,2000,0.7058823529411765,20.11764705882353,66.66666666666667,17,20970.62655826986,7.160714285714286
backend_wx,26,42000,test,2000,0.6666666666666666,38.666666666666664,66.66666666666667,21,25811.914213579712,7.517857142857143
backend_wx,27,42000,train,2000,0.6428571428571429,26.714285714285715,66.66666666666667,14,21346.45335907908,7.5
backend_wx,28,44000,train,2000,0.625,31.0,66.66666666666667,16,23971.009478820728,7.821428571428571
backend_wx,29,46000,train,2000,0.6111111111111112,19.88888888888889,66.66666666666667,18,22848.527609921905,7.803571428571429
backend_wx,30,48000,train,2000,0.5882352941176471,27.235294117647058,66.66666666666667,17,22006.78530448387,7.446428571428571
backend_wx,31,50000,train,2000,0.6,30.2,66.66666666666667,15,21329.329058334573,7.428571428571429
backend_wx,32,52000,test,2000,0.6666666666666666,50.2,66.66666666666667,15,24549.652565371514,7.035714285714286
backend_wx,33,52000,train,2000,0.631578947368421,22.789473684210527,66.66666666666667,19,21369.206519274976,7.392857142857143
backend_wx,34,54000,train,2000,0.6666666666666666,26.952380952380953,66.66666666666667,21,23634.907035840653,7.375
backend_wx,35,56000,train,2000,0.7894736842105263,26.894736842105264,66.66666666666667,19,21121.55045965546,7.357142857142857
backend_wx,36,58000,train,2000,0.8125,21.75,66.66666666666667,16,20646.499030108724,7.339285714285714
backend_wx,37,60000,train,2000,0.6875,18.0,66.66666666666667,16,18970.027889992984,7.321428571428571
backend_wx,38,62000,test,2000,0.6,37.733333333333334,66.66666666666667,15,20759.190494733353,7.303571428571429
