时间步,模式,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
0,train,948,60,60,1.0,42.25,58.75,97.9,198.9,476.0,0.25,19.566666666666666,18.24,36.5,3.588235294117647,94022.1925623496
948,test,923,60,60,1.0,65.98333333333333,51.96666666666667,106.18333333333334,224.13333333333333,648.0,0.2833333333333333,37.016666666666666,71.88888888888889,41.625,10.038461538461538,92796.45270761632
948,train,871,60,60,1.0,49.11666666666667,61.03333333333333,98.23333333333333,208.38333333333333,516.0,0.2666666666666667,24.733333333333334,37.76190476190476,26.423076923076923,0.3076923076923077,91956.53309862022
1819,train,924,60,60,1.0,70.91666666666667,55.46666666666667,83.3,209.68333333333334,421.0,0.31666666666666665,18.616666666666667,27.166666666666668,15.583333333333334,7.583333333333333,91749.89811641588
2743,train,977,60,60,1.0,72.5,55.833333333333336,104.18333333333334,232.51666666666668,527.0,0.30000000000000004,42.21666666666667,51.333333333333336,24.6,45.25,96880.41267390145
3720,train,857,60,60,1.0,22.566666666666666,58.03333333333333,83.23333333333333,163.83333333333334,388.0,0.15000000000000002,9.016666666666667,10.352941176470589,3.6315789473684212,12.333333333333334,87507.14590681554
4577,train,940,60,60,1.0,70.18333333333334,53.2,113.06666666666666,236.45,508.0,0.3666666666666667,38.7,39.82608695652174,49.8,24.11764705882353,99309.33960490751
5517,train,868,60,60,1.0,84.43333333333334,64.73333333333333,94.1,243.26666666666668,625.0,0.4666666666666667,42.81666666666667,29.8,65.1875,41.10526315789474,96440.85981367793
6385,train,942,60,60,1.0,61.5,52.0,93.63333333333334,207.13333333333333,484.0,0.21666666666666667,20.9,0.9565217391304348,36.25,31.047619047619047,93315.99837642323
7327,train,975,60,60,1.0,51.36666666666667,54.983333333333334,102.83333333333333,209.18333333333334,447.0,0.30000000000000004,19.716666666666665,7.35,39.94444444444444,14.409090909090908,98220.36326444328
8302,train,2000,57,60,0.95,104.10526315789474,59.280701754385966,121.57894736842105,284.96491228070175,660.0,0.543859649122807,69.3859649122807,53.05555555555556,79.7,74.0,110125.99990899509
10302,train,929,60,60,1.0,64.13333333333334,65.18333333333334,92.41666666666667,221.73333333333332,509.0,0.3666666666666667,30.7,37.04761904761905,56.8,8.833333333333334,96319.546089343
11231,test,839,60,60,1.0,53.416666666666664,51.38333333333333,100.36666666666666,205.16666666666666,377.0,0.2666666666666667,12.35,18.2,15.0,2.611111111111111,89956.77416669588
11231,train,911,60,60,1.0,36.31666666666667,60.63333333333333,82.65,179.6,431.0,0.23333333333333328,11.733333333333333,6.136363636363637,13.555555555555555,16.25,89871.80646761443
12142,train,831,60,60,1.0,25.9,55.53333333333333,91.21666666666667,172.65,385.0,0.19999999999999996,12.216666666666667,12.2,17.666666666666668,6.0,88757.59372096295
12973,train,1007,60,60,1.0,114.11666666666666,70.1,97.4,281.6166666666667,865.0,0.5833333333333333,63.05,48.3125,81.96153846153847,48.833333333333336,106285.89886696382
13980,train,924,60,60,1.0,101.01666666666667,57.88333333333333,94.75,253.65,688.0,0.4833333333333333,41.7,44.77272727272727,53.05263157894737,26.789473684210527,97817.12021139584
14904,train,801,60,60,1.0,37.93333333333333,59.55,94.06666666666666,191.55,469.0,0.23333333333333328,23.75,11.615384615384615,30.444444444444443,22.6,87803.06851120987
15705,train,978,60,60,1.0,112.03333333333333,57.25,101.11666666666666,270.4,559.0,0.4666666666666667,61.5,71.28571428571429,71.13793103448276,37.0,103939.81775708155
16683,train,972,60,60,1.0,63.333333333333336,62.78333333333333,101.73333333333333,227.85,524.0,0.3666666666666667,39.25,60.642857142857146,33.76923076923077,31.4,98388.52493825156
17655,train,946,60,60,1.0,90.08333333333333,58.483333333333334,105.01666666666667,253.58333333333334,637.0,0.3833333333333333,47.016666666666666,44.78947368421053,56.666666666666664,39.0,103178.1821941333
18601,train,843,60,60,1.0,43.8,58.9,95.96666666666667,198.66666666666666,618.0,0.2666666666666667,22.666666666666668,19.736842105263158,20.94736842105263,26.681818181818183,90001.62630948618
19444,train,865,60,60,1.0,53.583333333333336,60.88333333333333,92.41666666666667,206.88333333333333,599.0,0.21666666666666667,24.183333333333334,9.058823529411764,38.47826086956522,20.6,90736.60120234928
20309,train,1026,60,60,1.0,85.98333333333333,64.58333333333333,113.26666666666667,263.8333333333333,580.0,0.5,44.56666666666667,46.1,43.85,43.75,103022.54682376068
21335,test,967,60,60,1.0,69.76666666666667,61.333333333333336,103.25,234.35,874.0,0.23333333333333328,35.75,72.33333333333333,13.235294117647058,18.227272727272727,98748.2362044582
21335,train,2000,58,60,0.9666666666666667,84.41379310344827,60.741379310344826,116.60344827586206,261.7586206896552,801.0,0.4655172413793104,56.310344827586206,53.45,71.88235294117646,46.42857142857143,108497.04220402834
23335,train,907,60,60,1.0,51.75,57.56666666666667,103.26666666666667,212.58333333333334,509.0,0.2833333333333333,32.36666666666667,36.470588235294116,67.5,16.516129032258064,93889.68422938758
24242,train,1024,60,60,1.0,83.41666666666667,61.85,101.2,246.46666666666667,872.0,0.41666666666666663,42.016666666666666,18.0,39.45,64.0,101593.07201720278
25266,train,952,60,60,1.0,76.65,56.86666666666667,112.83333333333333,246.35,501.0,0.44999999999999996,37.31666666666667,30.181818181818183,35.07142857142857,45.166666666666664,95508.56801199466
26218,train,951,60,60,1.0,53.6,55.71666666666667,95.86666666666666,205.18333333333334,523.0,0.23333333333333328,27.016666666666666,4.809523809523809,41.76190476190476,35.72222222222222,97365.75971067548
27169,train,2000,56,60,0.9333333333333333,151.17857142857142,47.785714285714285,122.08928571428571,321.05357142857144,848.0,0.6428571428571428,92.94642857142857,52.76190476190476,93.3125,137.05263157894737,118959.21199130904
29169,train,869,60,60,1.0,37.6,63.61666666666667,85.68333333333334,186.9,507.0,0.21666666666666667,21.466666666666665,26.705882352941178,14.875,22.074074074074073,96224.86448681915
30038,train,974,60,60,1.0,90.21666666666667,62.36666666666667,101.25,253.83333333333334,550.0,0.41666666666666663,44.1,53.63636363636363,23.48148148148148,64.63636363636364,100988.64502546002
31012,train,923,60,60,1.0,89.58333333333333,58.266666666666666,96.78333333333333,244.63333333333333,612.0,0.3666666666666667,43.916666666666664,61.4375,48.77777777777778,29.76923076923077,101537.82290686824
31935,test,2000,59,60,0.9833333333333333,64.44067796610169,50.898305084745765,105.22033898305085,220.5593220338983,499.0,0.27118644067796616,31.559322033898304,58.63636363636363,27.176470588235293,5.5,99930.01779372379
31935,train,968,60,60,1.0,87.91666666666667,66.0,98.55,252.46666666666667,742.0,0.3833333333333333,48.333333333333336,32.17391304347826,75.72222222222223,41.94736842105263,104618.28405558973
32903,train,825,60,60,1.0,37.016666666666666,60.96666666666667,88.68333333333334,186.66666666666666,523.0,0.15000000000000002,13.366666666666667,26.0625,5.6,11.375,89690.72955006697
33728,train,2000,58,60,0.9666666666666667,70.79310344827586,57.41379310344828,112.10344827586206,240.31034482758622,705.0,0.4482758620689655,41.224137931034484,48.8235294117647,25.77777777777778,47.69565217391305,108840.20555347698
35728,train,819,60,60,1.0,42.71666666666667,49.86666666666667,99.4,191.98333333333332,411.0,0.19999999999999996,16.983333333333334,6.882352941176471,32.76470588235294,13.26923076923077,87420.41179168943
36547,train,985,60,60,1.0,76.38333333333334,62.083333333333336,115.48333333333333,253.95,717.0,0.43333333333333335,51.7,47.5,55.30434782608695,50.95238095238095,104224.09830170855
37532,train,822,60,60,1.0,29.983333333333334,51.43333333333333,83.03333333333333,164.45,397.0,0.1166666666666667,7.983333333333333,1.1111111111111112,13.3,8.772727272727273,85975.87389487695
