358919.252551,3463875.611049
359006.728578,3464942.818570
359137.942617,3463132.064825
358744.300499,3462283.547369
357957.016262,3462729.675104
358315.667970,3464741.623709
357755.821401,3464120.543922
357274.703256,3461609.981967
357545.878938,3463569.444957
359190.428233,3462301.042575
360021.450483,3462992.103183
359666.341193,3462855.683958
361019.986953,3463277.315244
358873.972460,3464556.450686
358639.329267,3462878.384349
358541.034991,3463000.619244
358182.773081,3462796.067140
358182.773081,3462796.067140
358105.260675,3462940.491978
357901.031605,3463443.479479
357804.807976,3463866.863446
358370.055541,3463481.948418
359365.380286,3463070.831606
357983.023875,3462464.936166
359505.341928,3464487.943233
359494.149465,3464384.378453
358700.705281,3463391.378277
