source,episode,t_env,mode,ep_length,completion_rate,on_time_rate,avg_delay,avg_delivery_time,order_generate_rate,total_completed
backend_wx,1,0,train,934,1.0,0.94,4.18,145.24,18.68,50
backend_wx,2,934,test,2000,0.96,0.9375,2.9583333333333335,138.58333333333334,40.0,48
backend_wx,3,934,train,962,1.0,0.9,7.68,154.4,19.24,50
backend_wx,4,1896,train,942,1.0,0.86,9.36,152.04,18.84,50
backend_wx,5,2838,train,945,1.0,0.98,1.38,134.42,18.9,50
backend_wx,6,3783,train,2000,0.98,0.8979591836734694,4.224489795918367,148.9591836734694,40.0,49
backend_wx,7,5783,train,958,1.0,0.84,11.08,159.06,19.16,50
backend_wx,8,6741,train,995,1.0,0.94,4.3,148.84,19.9,50
backend_wx,9,7736,train,993,1.0,0.82,15.34,153.06,19.86,50
backend_wx,10,8729,train,950,1.0,0.92,3.22,141.52,19.0,50
backend_wx,11,9679,train,881,1.0,0.88,6.84,143.7,17.62,50
backend_wx,12,10560,train,993,1.0,0.96,3.36,144.3,19.86,50
backend_wx,13,11553,test,897,1.0,0.88,5.82,139.18,17.94,50
backend_wx,14,11553,train,964,1.0,0.88,7.72,149.68,19.28,50
backend_wx,15,12517,train,895,1.0,0.94,2.56,142.42,17.9,50
backend_wx,16,13412,train,933,1.0,0.96,3.06,134.4,18.66,50
backend_wx,17,14345,train,987,1.0,0.96,3.14,146.24,19.74,50
backend_wx,18,15332,train,955,1.0,0.96,2.84,126.36,19.1,50
backend_wx,19,16287,train,999,1.0,0.94,3.62,145.14,19.98,50
backend_wx,20,17286,train,955,1.0,0.9,3.52,146.7,19.1,50
backend_wx,21,18241,train,933,1.0,0.9,6.46,161.36,18.66,50
backend_wx,22,19174,train,983,1.0,0.98,2.46,135.24,19.66,50
backend_wx,23,20157,train,2000,0.98,0.9183673469387755,3.36734693877551,140.83673469387756,40.0,49
backend_wx,24,22157,test,2000,0.94,0.9148936170212766,3.6808510638297873,154.59574468085106,40.0,47
backend_wx,25,22157,train,969,1.0,0.94,4.16,144.72,19.38,50
backend_wx,26,23126,train,935,1.0,0.96,2.46,127.16,18.7,50
backend_wx,27,24061,train,944,1.0,0.88,7.14,143.66,18.88,50
backend_wx,28,25005,train,2000,0.98,0.8571428571428571,7.857142857142857,148.20408163265307,40.0,49
backend_wx,29,27005,train,921,1.0,0.98,1.38,134.16,18.42,50
backend_wx,30,27926,train,871,1.0,0.92,3.12,138.6,17.42,50
backend_wx,31,28797,train,919,1.0,0.92,4.1,140.18,18.38,50
