source,episode,t_env,mode,ep_length,completion_rate,on_time_rate,avg_delay,avg_delivery_time,order_generate_rate,total_completed
backend_wx,32,29716,train,851,1.0,0.94,5.48,135.04,17.02,50
backend_wx,33,30567,train,963,1.0,0.96,3.7,145.62,19.26,50
backend_wx,34,31530,train,802,1.0,0.96,0.96,141.84,16.04,50
backend_wx,35,32332,test,2000,0.96,0.9166666666666666,3.25,136.91666666666666,40.0,48
backend_wx,36,32332,train,2000,0.96,0.8958333333333334,6.25,141.97916666666666,40.0,48
backend_wx,37,34332,train,2000,0.98,0.9387755102040817,2.6530612244897958,135.87755102040816,40.0,49
backend_wx,38,36332,train,926,1.0,0.94,4.08,138.94,18.52,50
backend_wx,39,37258,train,2000,0.98,0.9591836734693877,2.061224489795918,137.26530612244898,40.0,49
backend_wx,40,39258,train,2000,0.98,0.8979591836734694,4.3061224489795915,154.77551020408163,40.0,49
backend_wx,41,41258,train,933,1.0,0.96,5.82,145.46,18.66,50
backend_wx,42,42191,train,2000,0.98,0.8571428571428571,8.26530612244898,150.42857142857142,40.0,49
backend_wx,43,44191,test,2000,0.98,0.9387755102040817,2.9591836734693877,146.6734693877551,40.0,49
backend_wx,44,44191,train,2000,0.98,0.8979591836734694,5.591836734693878,150.87755102040816,40.0,49
backend_wx,45,46191,train,907,1.0,0.94,1.94,144.98,18.14,50
backend_wx,46,47098,train,2000,0.98,0.8775510204081632,7.73469387755102,155.81632653061226,40.0,49
backend_wx,47,49098,train,2000,0.98,0.7959183673469388,9.448979591836734,162.30612244897958,40.0,49
backend_wx,48,51098,train,2000,0.94,0.9574468085106383,3.5531914893617023,166.36170212765958,40.0,47
backend_wx,49,53098,train,867,1.0,0.94,4.68,148.24,17.34,50
backend_wx,50,53965,train,2000,0.98,0.9591836734693877,1.7346938775510203,133.48979591836735,40.0,49
backend_wx,51,55965,test,773,1.0,0.98,1.46,134.1,15.46,50
backend_wx,52,55965,train,2000,0.96,0.8541666666666666,12.458333333333334,166.52083333333334,40.0,48
backend_wx,53,57965,train,848,1.0,0.96,0.94,136.54,16.96,50
backend_wx,54,58813,train,2000,0.98,0.9183673469387755,1.183673469387755,143.51020408163265,40.0,49
backend_wx,55,60813,train,891,1.0,0.96,1.54,147.76,17.82,50
backend_wx,56,61704,train,911,1.0,0.94,5.76,148.98,18.22,50
backend_wx,57,62615,train,859,1.0,1.0,0.0,146.1,17.18,50
backend_wx,58,63474,train,2000,0.96,0.875,5.229166666666667,156.27083333333334,40.0,48
backend_wx,59,65474,train,2000,0.98,0.9183673469387755,1.4285714285714286,146.6326530612245,40.0,49
backend_wx,60,67474,test,892,1.0,0.98,1.38,128.16,17.84,50
backend_wx,61,67474,train,937,1.0,0.92,6.22,148.04,18.74,50
backend_wx,62,68411,train,2000,0.98,0.8979591836734694,7.816326530612245,140.55102040816325,40.0,49
backend_wx,63,70411,train,925,1.0,0.9,5.1,150.26,18.5,50
backend_wx,64,71336,train,2000,0.98,0.9387755102040817,1.7346938775510203,140.3265306122449,40.0,49
backend_wx,65,73336,train,907,1.0,0.94,3.76,138.04,18.14,50
backend_wx,66,74243,train,896,1.0,0.96,2.74,134.24,17.92,50
backend_wx,67,75139,train,899,1.0,0.94,1.94,143.18,17.98,50
backend_wx,68,76038,train,2000,0.94,0.9361702127659575,2.4893617021276597,159.63829787234042,40.0,47
backend_wx,69,78038,test,2000,0.96,0.9375,1.0625,147.85416666666666,40.0,48
backend_wx,70,78038,train,883,1.0,0.96,2.96,147.56,17.66,50
backend_wx,71,78921,train,836,1.0,0.94,3.4,142.28,16.72,50
backend_wx,72,79757,train,904,1.0,0.92,5.72,147.18,18.08,50
backend_wx,73,80661,train,2000,0.98,0.9795918367346939,0.4897959183673469,153.53061224489795,40.0,49
backend_wx,74,82661,train,2000,0.98,0.9795918367346939,0.5510204081632653,140.3673469387755,40.0,49
backend_wx,75,84661,train,922,1.0,0.96,3.04,132.82,18.44,50
backend_wx,76,85583,train,888,1.0,0.98,1.6,145.12,17.76,50
backend_wx,77,86471,train,936,1.0,0.96,5.48,137.8,18.72,50
backend_wx,78,87407,train,2000,0.98,0.9183673469387755,1.816326530612245,140.08163265306123,40.0,49
backend_wx,79,89407,test,1013,1.0,0.96,4.12,148.04,20.26,50
backend_wx,80,89407,train,2000,0.98,0.9183673469387755,1.4081632653061225,140.59183673469389,40.0,49
backend_wx,81,91407,train,1004,1.0,0.96,3.5,144.44,20.08,50
backend_wx,82,92411,train,2000,0.96,0.9375,2.5416666666666665,155.1875,40.0,48
backend_wx,83,94411,train,2000,0.98,0.9387755102040817,4.142857142857143,138.48979591836735,40.0,49
backend_wx,84,96411,train,916,1.0,0.94,4.52,140.8,18.32,50
backend_wx,85,97327,train,890,1.0,0.96,5.92,146.18,17.8,50
backend_wx,86,98217,train,888,1.0,0.88,5.72,148.46,17.76,50
backend_wx,87,99105,train,904,1.0,0.94,4.02,133.28,18.08,50
backend_wx,88,100009,test,2000,0.98,0.8979591836734694,5.122448979591836,152.3877551020408,40.0,49
