总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
993.0,60.0,60.0,1.0,65.8,52.13333333333333,87.58333333333333,205.51666666666668,571.0,0.6333333333333333,74.25,76.4,53.333333333333336,113.93333333333334,96139.1793719574
966.0,60.0,60.0,1.0,69.83333333333333,50.78333333333333,87.35,207.96666666666667,715.0,0.65,67.7,56.4,60.523809523809526,87.52631578947368,95315.11077113675
818.0,60.0,60.0,1.0,57.5,40.31666666666667,83.61666666666666,181.43333333333334,428.0,0.6333333333333333,46.8,39.529411764705884,44.458333333333336,56.26315789473684,84777.83926917039
