source,episode,t_env,mode,ep_length,completion_rate,on_time_rate,avg_delay,avg_delivery_time,order_generate_rate,total_completed
backend_wx,1,0,train,974,1.0,0.94,5.76,156.26,19.48,50
backend_wx,2,974,test,2000,0.98,0.9183673469387755,7.959183673469388,160.6122448979592,40.0,49
backend_wx,3,974,train,1002,1.0,0.96,2.72,147.76,20.04,50
backend_wx,4,1976,train,1049,1.0,0.94,4.3,155.54,20.98,50
backend_wx,5,3025,train,1007,1.0,0.98,2.48,139.96,20.14,50
backend_wx,6,4032,train,951,1.0,0.98,1.38,133.28,19.02,50
backend_wx,7,4983,train,948,1.0,0.98,1.38,148.02,18.96,50
backend_wx,8,5931,train,910,1.0,0.96,1.64,143.2,18.2,50
backend_wx,9,6841,train,948,1.0,0.96,2.18,140.2,18.96,50
backend_wx,10,7789,train,947,1.0,0.98,1.38,140.72,18.94,50
backend_wx,11,8736,train,1001,1.0,0.98,2.26,151.18,20.02,50
backend_wx,12,9737,train,954,1.0,0.94,1.68,137.38,19.08,50
backend_wx,13,10691,train,925,1.0,0.98,0.88,135.78,18.5,50
backend_wx,14,11616,test,1110,1.0,0.94,5.62,147.34,22.2,50
backend_wx,15,11616,train,975,1.0,0.96,2.48,146.48,19.5,50
backend_wx,16,12591,train,964,1.0,0.94,2.32,150.86,19.28,50
backend_wx,17,13555,train,914,1.0,1.0,0.0,128.14,18.28,50
backend_wx,18,14469,train,1010,1.0,0.96,3.26,143.24,20.2,50
backend_wx,19,15479,train,1008,1.0,0.96,2.5,146.7,20.16,50
backend_wx,20,16487,train,1053,1.0,0.98,1.86,145.78,21.06,50
backend_wx,21,17540,train,1064,1.0,0.88,5.12,155.88,21.28,50
backend_wx,22,18604,train,1101,1.0,0.98,3.28,145.18,22.02,50
backend_wx,23,19705,train,1030,1.0,0.98,2.26,147.42,20.6,50
backend_wx,24,20735,train,1106,1.0,0.96,2.66,155.6,22.12,50
backend_wx,25,21841,test,1002,1.0,0.96,3.14,152.1,20.04,50
backend_wx,26,21841,train,1028,1.0,0.98,2.46,148.9,20.56,50
backend_wx,27,22869,train,1001,1.0,0.94,3.38,151.14,20.02,50
backend_wx,28,23870,train,1028,1.0,0.98,0.64,147.94,20.56,50
backend_wx,29,24898,train,1096,1.0,0.96,4.54,149.16,21.92,50
backend_wx,30,25994,train,1092,1.0,0.98,1.38,129.16,21.84,50
backend_wx,31,27086,train,1056,1.0,0.88,7.86,156.54,21.12,50
