Algorithm,Display Name,Completion Rate,Generation-to-Assignment Wait,Avg Generation-to-Completion Time,Max Generation-to-Completion Time,Timeout Rate,Average Delay,Total Energy Consumption
greedy,Greedy,0.0,0.346359401607868,0.19432158920539694,0.9015873015873016,0.21674876847290664,0.40132292344393833,0.0
pso,PSO,1.0,0.0,0.11286661753868867,0.8346031746031746,0.30677966101695003,0.654157339302846,1.0
iql,IQL,1.0,0.5203723306478708,0.0,0.3142857142857143,0.0,0.0,0.4062019735229532
iql_u,IQL-U,1.0,1.0,0.5423913043478256,0.8380952380952381,0.2857142857142872,0.4916142557651992,0.8906999589323854
vdn,VDN,1.0,0.38013032206537684,0.14510869565217466,0.0,0.7142857142857147,0.23270440251572325,0.4630087823797405
vdn_u,VDN-U,1.0,0.9943903196567002,1.0,1.0,0.5714285714285724,0.9758909853249477,0.8843755256658822
qmix,QMIX,1.0,0.6760409601744388,0.4380434782608693,0.9492063492063492,0.8571428571428578,0.8668763102725368,0.8517333114172784
qmix_u,QMIX-U,1.0,0.6550046588870647,0.6608695652173916,0.7904761904761904,1.0,1.0,0.9347148871174811
