Algorithm,Display Name,Weighted Overall Score
greedy,Greedy,0.3710973739821287
pso,PSO,0.6160964370459587
iql,IQL,0.2449923157636725
iql_u,IQL-U,0.624688268053263
vdn,VDN,0.46988987821107464
vdn_u,VDN-U,0.8835980176195692
qmix,QMIX,0.8142577048384338
qmix_u,QMIX-U,0.9290949717094884
