Algorithm,Total Steps,Completed Tasks,Generated Tasks,Completion Rate,Generation-to-Assignment Wait,Assignment-to-Loading Wait,Loading-to-Delivery Time,Avg Generation-to-Completion Time,Max Generation-to-Completion Time,Timeout Rate,Average Delay,Priority-1 Average Delay,Priority-2 Average Delay,Priority-3 Average Delay,Total Energy Consumption,Display Name
greedy,2000.0,58.0,60.0,0.9666666666666668,50.62068965517241,47.672413793103445,93.93103448275862,192.22413793103448,411.0,0.2413793103448276,21.06896551724138,14.80952380952381,30.11111111111111,19.42105263157895,103415.79269783608,Greedy
pso,1003.0,60.0,60.0,1.0,62.96932203389831,46.90980225988701,84.8429661016949,194.7220903954802,432.1,0.2308757062146892,17.048898305084748,13.02588807327938,22.6485409893796,15.818884588923288,89177.59839075788,PSO
iql,937.0,60.0,60.0,1.0,44.41666666666666,60.06666666666667,93.7,198.1833333333333,596.0,0.2666666666666667,27.45,24.625,16.166666666666668,42.5,97632.21007089764,IQL
iql_u,952.0,60.0,60.0,1.0,27.316666666666663,56.63333333333333,97.6,181.55,431.0,0.2333333333333332,19.633333333333333,25.5,17.38888888888889,15.2,90733.8336132502,IQL-U
vdn,944.0,60.0,60.0,1.0,49.41666666666666,45.3,99.01666666666668,193.7333333333333,695.0,0.1833333333333333,23.75,6.777777777777778,42.77777777777778,31.466666666666665,96823.38368842965,VDN
vdn_u,858.0,60.0,60.0,1.0,27.516666666666666,49.516666666666666,90.48333333333332,167.51666666666668,380.0,0.1999999999999999,11.933333333333334,19.39130434782609,7.285714285714286,7.3125,90823.88212298082,VDN-U
qmix,926.0,60.0,60.0,1.0,38.86666666666667,55.85,90.03333333333333,184.75,396.0,0.1666666666666666,13.666666666666666,9.590909090909092,20.27777777777778,12.2,91288.64831206572,QMIX
qmix_u,879.0,60.0,60.0,1.0,39.61666666666667,50.23333333333333,88.06666666666666,177.91666666666666,446.0,0.15,11.55,11.173913043478262,11.88888888888889,11.68421052631579,90107.14051333872,QMIX-U
