source,episode,t_env,mode,episode_step,completion_rate,on_time_rate,avg_delay,avg_wait_time_to_load,avg_delivery_time,avg_generation_to_completion_time,avg_generation_time,total_completed,total_generated,avg_steps_per_order,total_energy_consumed,max_delivery_time
backend_wx,1,0,train,2000,0.95,0.9473684210526315,2.3859649122807016,0.0,144.33333333333334,144.33333333333334,29.423728813559322,57,60,144.33333333333334,90682.46804486807,322.0
backend_wx,2,2000,test,2000,0.9,0.9074074074074074,2.185185185185185,0.3333333333333333,151.7962962962963,152.12962962962962,29.11864406779661,54,60,151.7962962962963,98197.51289379368,332.0
backend_wx,3,2000,train,2000,0.95,0.9649122807017544,1.8245614035087718,0.05263157894736842,149.12280701754386,149.17543859649123,29.10169491525424,57,60,149.12280701754386,92523.44610333773,299.0
backend_wx,4,4000,train,2000,0.9333333333333333,0.9107142857142857,3.107142857142857,0.05357142857142857,160.26785714285714,160.32142857142858,29.084745762711865,56,60,160.26785714285714,98442.67703557707,339.0
backend_wx,5,6000,train,2000,0.95,0.9649122807017544,2.4210526315789473,0.08771929824561403,154.57894736842104,154.66666666666666,29.06779661016949,57,60,154.57894736842104,94480.25497931849,348.0
backend_wx,6,8000,train,2000,0.9666666666666667,0.9655172413793104,1.0,0.08620689655172414,147.93103448275863,148.01724137931035,29.338983050847457,58,60,147.93103448275863,89009.9348989602,334.0
backend_wx,7,10000,train,2000,0.9333333333333333,0.9464285714285714,2.232142857142857,0.08928571428571429,143.5,143.58928571428572,29.322033898305083,56,60,143.5,91127.67793364321,288.0
backend_wx,8,12000,test,2000,0.95,0.9473684210526315,2.263157894736842,0.0,151.6315789473684,151.6315789473684,29.305084745762713,57,60,151.6315789473684,92626.12235567087,322.0
backend_wx,9,12000,train,2000,0.9333333333333333,0.9464285714285714,2.2142857142857144,0.017857142857142856,148.35714285714286,148.375,29.0,56,60,148.35714285714286,91574.20447289474,304.0
backend_wx,10,14000,train,2000,0.9666666666666667,0.9655172413793104,1.8103448275862069,0.034482758620689655,157.5344827586207,157.56896551724137,29.271186440677965,58,60,157.5344827586207,95527.08057920725,301.0
backend_wx,11,16000,train,2000,0.95,0.9649122807017544,0.8596491228070176,0.07017543859649122,137.03508771929825,137.10526315789474,29.559322033898304,57,60,137.03508771929825,82105.52340869787,305.0
backend_wx,12,18000,train,2000,0.9333333333333333,0.9464285714285714,3.3035714285714284,0.08928571428571429,142.89285714285714,142.98214285714286,29.54237288135593,56,60,142.89285714285714,87887.149435813,348.0
backend_wx,13,20000,train,2000,0.95,0.9298245614035088,3.1403508771929824,0.03508771929824561,133.80701754385964,133.8421052631579,29.10169491525424,57,60,133.80701754385964,84099.55861679367,280.0
backend_wx,14,22000,test,2000,0.9166666666666666,1.0,0.0,0.0,146.45454545454547,146.45454545454547,29.508474576271187,55,60,146.45454545454547,89300.11476549527,304.0
backend_wx,15,22000,train,2000,0.9666666666666667,0.9655172413793104,2.0344827586206895,0.034482758620689655,133.94827586206895,133.98275862068965,29.491525423728813,58,60,133.94827586206895,83939.65510504694,322.0
backend_wx,16,24000,train,2000,0.9833333333333333,0.9661016949152542,1.6271186440677967,0.06779661016949153,142.57627118644066,142.64406779661016,29.47457627118644,59,60,142.57627118644066,84150.05620399912,316.0
backend_wx,17,26000,train,2000,0.9666666666666667,0.9655172413793104,3.0344827586206895,0.06896551724137931,144.13793103448276,144.20689655172413,28.89830508474576,58,60,144.13793103448276,87052.28252333052,332.0
backend_wx,18,28000,train,2000,0.9666666666666667,0.9482758620689655,1.9655172413793103,0.06896551724137931,145.01724137931035,145.08620689655172,29.440677966101696,58,60,145.01724137931035,88271.48260862175,334.0
backend_wx,19,30000,train,2000,0.9333333333333333,0.9821428571428571,0.21428571428571427,0.03571428571428571,147.19642857142858,147.23214285714286,29.88135593220339,56,60,147.19642857142858,90029.9991598411,284.0
backend_wx,20,32000,test,2000,0.9,0.9814814814814815,0.2962962962962963,0.0,139.11111111111111,139.11111111111111,29.135593220338983,54,60,139.11111111111111,89330.9753877118,273.0
