source,episode,t_env,mode,episode_step,completion_rate,on_time_rate,avg_delay,avg_wait_time_to_load,avg_delivery_time,avg_generation_to_completion_time,avg_generation_time,total_completed,total_generated,avg_steps_per_order,total_energy_consumed,max_delivery_time
backend_wx,1,0,train,2000,0.8857142857142857,0.8064516129032258,22.338709677419356,126.61290322580645,149.1451612903226,275.758064516129,6.159420289855072,62,70,149.1451612903226,105601.42293243328,318.0
backend_wx,2,2000,test,2000,0.9142857142857143,0.765625,23.84375,121.3125,144.234375,265.546875,6.144927536231884,64,70,144.234375,105947.08607981818,395.0
backend_wx,3,2000,train,2000,0.8142857142857143,0.7368421052631579,19.68421052631579,130.4561403508772,154.8421052631579,285.29824561403507,6.130434782608695,57,70,154.8421052631579,101725.49712631905,285.0
backend_wx,4,4000,train,2000,0.8285714285714286,0.7241379310344828,26.79310344827586,146.58620689655172,155.72413793103448,302.3103448275862,6.115942028985507,58,70,155.72413793103448,102373.63737457793,342.0
backend_wx,5,6000,train,2000,0.8714285714285714,0.7704918032786885,22.131147540983605,135.39344262295083,150.9016393442623,286.2950819672131,6.217391304347826,61,70,150.9016393442623,106684.40830507291,299.0
backend_wx,6,8000,train,2000,0.9,0.6507936507936508,32.06349206349206,135.22222222222223,151.8095238095238,287.031746031746,6.202898550724638,63,70,151.8095238095238,109969.44395385792,297.0
backend_wx,7,10000,train,2000,0.9,0.7777777777777778,24.761904761904763,131.63492063492063,149.26984126984127,280.9047619047619,6.188405797101449,63,70,149.26984126984127,107784.99117200576,303.0
backend_wx,8,12000,test,2000,0.8142857142857143,0.7192982456140351,30.228070175438596,120.42105263157895,156.64912280701753,277.0701754385965,6.173913043478261,57,70,156.64912280701753,103351.54958482055,312.0
backend_wx,9,12000,train,2000,0.9285714285714286,0.6923076923076923,32.66153846153846,153.53846153846155,153.06153846153848,306.6,6.159420289855072,65,70,153.06153846153848,114671.89479508741,291.0
backend_wx,10,14000,train,2000,0.8,0.6785714285714286,25.535714285714285,128.39285714285714,154.35714285714286,282.75,6.144927536231884,56,70,154.35714285714286,99578.17831678709,342.0
backend_wx,11,16000,train,2000,0.7857142857142857,0.6545454545454545,33.8,142.78181818181818,161.43636363636364,304.2181818181818,6.130434782608695,55,70,161.43636363636364,102776.77408780155,342.0
backend_wx,12,18000,train,2000,0.9285714285714286,0.7230769230769231,26.661538461538463,131.23076923076923,147.47692307692307,278.7076923076923,6.115942028985507,65,70,147.47692307692307,110521.55719834879,300.0
backend_wx,13,20000,train,2000,0.6857142857142857,0.7708333333333334,14.75,112.95833333333333,153.33333333333334,266.2916666666667,5.9855072463768115,48,70,153.33333333333334,85310.1617153466,279.0
backend_wx,14,22000,test,2000,0.8714285714285714,0.7213114754098361,25.540983606557376,123.77049180327869,146.34426229508196,270.11475409836066,6.086956521739131,61,70,146.34426229508196,103455.22125538133,299.0
backend_wx,15,22000,train,2000,0.7857142857142857,0.7818181818181819,20.563636363636363,113.96363636363637,149.83636363636364,263.8,6.072463768115942,55,70,149.83636363636364,95377.59998139394,267.0
backend_wx,16,24000,train,2000,0.7857142857142857,0.7636363636363637,20.927272727272726,120.6,149.38181818181818,269.9818181818182,6.057971014492754,55,70,149.38181818181818,94982.49457919951,284.0
backend_wx,17,26000,train,2000,0.7,0.8163265306122449,19.510204081632654,99.3265306122449,158.48979591836735,257.81632653061223,6.043478260869565,49,70,158.48979591836735,89559.36808537494,285.0
