source,episode,t_env,mode,ep_length,on_time_rate,avg_delay,order_generate_rate,total_completed,total_energy_consumed,avg_generation_time
backend_wx,1,0,train,974,0.94,5.76,19.48,50,77472.74332256653,7.270833333333333
backend_wx,2,974,test,2000,0.8409090909090909,11.136363636363637,40.0,44,63049.659319661994,7.260416666666667
backend_wx,3,974,train,967,0.94,2.26,19.34,50,72458.50658168254,7.34375
backend_wx,4,1941,train,1011,0.94,1.86,20.22,50,78375.54500206295,7.427083333333333
backend_wx,5,2952,train,976,0.98,1.86,19.52,50,68359.89711056942,7.520833333333333
backend_wx,6,3928,train,951,0.98,1.38,19.02,50,66758.30826978655,7.510416666666667
backend_wx,7,4879,train,971,0.94,2.3,19.42,50,72629.39932729767,7.302083333333333
backend_wx,8,5850,train,910,0.96,1.64,18.2,50,70445.82650087395,7.489583333333333
backend_wx,9,6760,train,1002,0.96,3.26,20.04,50,70950.11560199402,7.479166666666667
backend_wx,10,7762,train,991,0.96,2.58,19.82,50,71330.80379549481,7.46875
backend_wx,11,8753,train,992,0.96,3.04,19.84,50,76619.76755693971,7.458333333333333
backend_wx,12,9745,train,969,0.98,1.86,19.38,50,69277.15290855475,7.447916666666667
backend_wx,13,10714,train,955,0.96,2.48,19.1,50,67290.61845186379,7.4375
backend_wx,14,11669,test,2000,0.8780487804878049,5.7317073170731705,40.0,41,59408.45710533735,7.427083333333333
backend_wx,15,11669,train,985,0.96,2.46,19.7,50,71967.79786908196,7.3125
backend_wx,16,12654,train,954,0.98,1.66,19.08,50,71125.14948990717,7.302083333333333
backend_wx,17,13608,train,964,0.96,2.18,19.28,50,67721.72898636275,7.395833333333333
backend_wx,18,14572,train,1009,0.92,4.66,20.18,50,72132.6761581439,7.729166666666667
backend_wx,19,15581,train,1034,0.94,1.46,20.68,50,72191.66561676386,7.71875
backend_wx,20,16615,train,1108,0.98,1.68,22.16,50,73784.55452342742,7.708333333333333
backend_wx,21,17723,train,1006,0.94,3.58,20.12,50,72609.1038950185,7.697916666666667
backend_wx,22,18729,train,1006,0.98,2.46,20.12,50,72478.4689031395,7.6875
backend_wx,23,19735,train,1030,0.98,1.84,20.6,50,73032.54075683487,7.677083333333333
backend_wx,24,20765,train,1030,0.96,1.62,20.6,50,75321.23697088253,7.666666666666667
backend_wx,25,21795,test,2000,0.0,0.0,40.0,0,0.0,7.65625
backend_wx,26,21795,train,1002,0.96,2.56,20.04,50,74899.40926003586,7.770833333333333
backend_wx,27,22797,train,1005,0.94,4.12,20.1,50,75379.49423603636,7.760416666666667
backend_wx,28,23802,train,1097,0.98,2.52,21.94,50,70171.30646583717,7.875
backend_wx,29,24899,train,1058,0.96,3.5,21.16,50,74868.2230134563,7.864583333333333
backend_wx,30,25957,train,998,0.98,1.6,19.96,50,64906.274456884545,7.729166666666667
backend_wx,31,26955,train,1026,0.9,6.18,20.52,50,73858.9531453393,7.71875
backend_wx,32,27981,train,1039,0.94,3.18,20.78,50,77908.62897290902,7.583333333333333
backend_wx,33,29020,train,1041,0.98,2.48,20.82,50,74100.13390830041,7.697916666666667
backend_wx,34,30061,train,1052,0.94,3.22,21.04,50,70406.78163906965,7.6875
backend_wx,35,31113,train,1034,1.0,0.0,20.68,50,65438.80155207411,7.677083333333333
backend_wx,36,32147,test,2000,0.0,0.0,40.0,0,0.0,7.666666666666667
backend_wx,37,32147,train,943,0.98,1.84,18.86,50,71274.05342535494,7.46875
backend_wx,38,33090,train,963,0.98,2.26,19.26,50,70700.67915551782,7.458333333333333
backend_wx,39,34053,train,1082,0.94,1.86,21.64,50,68386.65374217925,7.510416666666667
backend_wx,40,35135,train,1092,0.9,3.04,21.84,50,72496.50635021,7.5
backend_wx,41,36227,train,1077,0.98,0.18,21.54,50,71811.64549147949,7.489583333333333
backend_wx,42,37304,train,1114,0.96,1.12,22.28,50,72315.9020909075,7.479166666666667
backend_wx,43,38418,train,1040,0.98,0.14,20.8,50,68285.73168415701,7.46875
backend_wx,44,39458,train,1061,0.98,0.02,21.22,50,69944.68636722668,7.458333333333333
backend_wx,45,40519,train,1008,0.96,1.44,20.16,50,69294.92609196632,7.572916666666667
backend_wx,46,41527,train,931,0.96,2.26,18.62,50,71523.60050264584,7.260416666666667
backend_wx,47,42458,test,2000,0.0,0.0,40.0,0,0.0,7.364583333333333
backend_wx,48,42458,train,938,0.96,6.16,18.76,50,73184.80984760042,7.354166666666667
backend_wx,49,43396,train,873,0.96,1.04,17.46,50,70442.33524531119,7.479166666666667
