source,episode,t_env,mode,ep_length,on_time_rate,avg_delay,order_generate_rate,total_completed,total_energy_consumed,avg_generation_time
backend_wx,50,44269,train,909,0.98,1.38,18.18,50,71105.6881119923,7.677083333333333
backend_wx,51,45178,train,929,0.96,0.92,18.58,50,72573.65437090327,7.666666666666667
backend_wx,52,46107,train,959,0.88,6.1,19.18,50,80028.78896075583,7.65625
backend_wx,53,47066,train,953,0.96,2.62,19.06,50,73280.87801244113,7.645833333333333
backend_wx,54,48019,train,929,0.96,2.6,18.58,50,71178.39695796903,7.239583333333333
backend_wx,55,48948,train,928,0.94,2.72,18.56,50,73651.43916689939,7.447916666666667
backend_wx,56,49876,train,989,0.98,1.88,19.78,50,76239.6256181761,7.4375
backend_wx,57,50865,train,904,0.98,0.72,18.08,50,69362.21007456657,7.395833333333333
backend_wx,58,51769,train,864,0.96,0.94,17.28,50,63746.82515420746,7.385416666666667
backend_wx,59,52633,test,2000,0.0,0.0,40.0,0,0.0,7.375
backend_wx,60,52633,train,881,0.96,0.44,17.62,50,67530.60291686919,7.364583333333333
backend_wx,61,53514,train,974,0.9,5.06,19.48,50,73621.00063570408,7.385416666666667
backend_wx,62,54488,train,914,0.94,0.98,18.28,50,69543.1292885959,7.34375
backend_wx,63,55402,train,930,0.98,2.06,18.6,50,74625.63222968695,7.364583333333333
backend_wx,64,56332,train,947,0.98,2.46,18.94,50,63746.87482494635,7.135416666666667
backend_wx,65,57279,train,925,0.98,0.64,18.5,50,63713.015720499476,7.34375
backend_wx,66,58204,train,923,0.98,1.84,18.46,50,67845.48662857234,7.333333333333333
backend_wx,67,59127,train,947,0.98,2.48,18.94,50,62857.43554526764,7.322916666666667
backend_wx,68,60074,train,923,0.94,2.28,18.46,50,71717.44527355392,7.1875
backend_wx,69,60997,train,889,0.98,1.38,17.78,50,67056.22008131379,7.177083333333333
backend_wx,70,61886,train,1005,0.98,1.66,20.1,50,67862.29064335673,7.53125
backend_wx,71,62891,test,2000,0.0,0.0,40.0,0,0.0,7.520833333333333
backend_wx,72,62891,train,1019,0.96,4.14,20.38,50,73298.76359041981,7.510416666666667
backend_wx,73,63910,train,1018,0.96,3.36,20.36,50,76257.21211551425,7.635416666666667
backend_wx,74,64928,train,1004,0.98,1.26,20.08,50,73922.40073028761,7.489583333333333
backend_wx,75,65932,train,997,0.98,1.86,19.94,50,71993.85820874287,7.479166666666667
backend_wx,76,66929,train,1017,0.96,2.6,20.34,50,72942.60502274211,7.84375
backend_wx,77,67946,train,997,0.96,4.8,19.94,50,74725.35775476633,7.833333333333333
backend_wx,78,68943,train,960,0.94,3.88,19.2,50,74747.21053118487,7.822916666666667
backend_wx,79,69903,train,902,0.9,1.28,18.04,50,67465.01012572579,7.583333333333333
backend_wx,80,70805,train,954,0.96,2.86,19.08,50,73960.77696294665,7.666666666666667
backend_wx,81,71759,train,996,0.96,2.7,19.92,50,72478.97319570155,7.65625
backend_wx,82,72755,train,993,0.96,1.84,19.86,50,76250.20699793595,7.645833333333333
backend_wx,83,73748,test,2000,0.0,0.0,40.0,0,0.0,7.635416666666667
backend_wx,84,73748,train,948,0.94,3.0,18.96,50,74073.7299616768,7.625
backend_wx,85,74696,train,912,0.94,2.02,18.24,50,71964.69313344714,7.427083333333333
backend_wx,86,75608,train,987,0.96,2.72,19.74,50,71681.98783489416,7.604166666666667
backend_wx,87,76595,train,1015,0.98,2.34,20.3,50,72683.42139514958,7.489583333333333
backend_wx,88,77610,train,1015,0.94,0.88,20.3,50,65474.84980942757,7.59375
backend_wx,89,78625,train,954,0.92,5.42,19.08,50,73256.05854905715,7.708333333333333
backend_wx,90,79579,train,879,0.98,0.36,17.58,50,60422.68890006715,7.375
backend_wx,91,80458,train,941,0.92,1.64,18.82,50,74609.07596918524,7.427083333333333
backend_wx,92,81399,train,911,0.96,3.06,18.22,50,63859.36716935187,7.447916666666667
backend_wx,93,82310,train,931,0.98,1.88,18.62,50,67918.10649387231,7.40625
backend_wx,94,83241,train,915,0.98,2.36,18.3,50,67974.70843008407,7.395833333333333
backend_wx,95,84156,test,2000,0.0,0.0,40.0,0,0.0,7.416666666666667
backend_wx,96,84156,train,994,0.96,2.56,19.88,50,71308.90233334615,7.375
backend_wx,97,85150,train,904,0.94,3.7,18.08,50,67483.03202610483,7.364583333333333
backend_wx,98,86054,train,917,0.98,2.36,18.34,50,64773.56289339443,7.447916666666667
backend_wx,99,86971,train,988,0.96,1.74,19.76,50,70661.58967798551,7.375
backend_wx,100,87959,train,923,0.94,2.9,18.46,50,69456.4980568868,7.46875
backend_wx,101,88882,train,910,0.96,1.52,18.2,50,68082.3109458287,7.458333333333333
backend_wx,102,89792,train,894,0.94,4.46,17.88,50,69970.77387576814,7.447916666666667
backend_wx,103,90686,train,963,0.96,2.34,19.26,50,67621.87051620011,7.604166666666667
backend_wx,104,91649,train,899,0.94,1.62,17.98,50,67046.3623251219,7.427083333333333
backend_wx,105,92548,train,896,0.98,1.72,17.92,50,67557.85044649924,7.416666666666667
backend_wx,106,93444,train,911,0.84,6.44,18.22,50,70547.73181798527,7.40625
backend_wx,107,94355,test,2000,0.0,0.0,40.0,0,0.0,7.5625
backend_wx,108,94355,train,900,0.98,0.76,18.0,50,58624.2519626264,7.385416666666667
backend_wx,109,95255,train,898,0.94,5.78,17.96,50,67747.6613296887,7.541666666666667
backend_wx,110,96153,train,907,0.98,0.58,18.14,50,61882.99064751751,7.53125
backend_wx,111,97060,train,1073,0.96,2.62,21.46,50,66914.4140412226,7.65625
backend_wx,112,98133,train,1056,0.88,11.22,21.12,50,76482.21118884745,7.645833333333333
backend_wx,113,99189,train,2000,0.8571428571428571,11.63265306122449,40.0,49,68717.88661180234,7.635416666666667
