时间步,模式,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
0,train,845,60,60,1.0,32.6,50.0,84.91666666666667,167.51666666666668,366.0,0.1166666666666667,5.416666666666667,8.833333333333334,4.529411764705882,1.894736842105263,86238.5406429925
845,test,986,60,60,1.0,97.2,57.36666666666667,101.46666666666667,256.03333333333336,917.0,0.41666666666666663,52.11666666666667,89.5,28.428571428571427,39.92857142857143,100570.17414881127
845,train,789,60,60,1.0,37.833333333333336,55.28333333333333,85.48333333333333,178.6,401.0,0.21666666666666667,10.483333333333333,16.04,7.842105263157895,4.9375,87153.17715896295
1634,train,901,60,60,1.0,56.6,53.65,90.35,200.6,583.0,0.21666666666666667,21.416666666666668,24.85,31.863636363636363,4.833333333333333,89779.00234512055
2535,train,847,60,60,1.0,59.61666666666667,50.266666666666666,101.53333333333333,211.41666666666666,484.0,0.2666666666666667,26.15,24.956521739130434,21.3125,31.142857142857142,93852.15343105534
3382,train,881,60,60,1.0,49.7,54.916666666666664,92.63333333333334,197.25,410.0,0.2666666666666667,13.65,21.291666666666668,14.142857142857142,5.0,92512.6014184883
4263,train,962,60,60,1.0,65.43333333333334,57.61666666666667,117.73333333333333,240.78333333333333,499.0,0.3833333333333333,36.11666666666667,28.53846153846154,47.46153846153846,38.476190476190474,101991.15878889276
5225,train,983,60,60,1.0,76.81666666666666,60.93333333333333,117.18333333333334,254.93333333333334,564.0,0.44999999999999996,52.916666666666664,38.689655172413794,44.27777777777778,96.61538461538461,102468.76007897212
6208,train,821,60,60,1.0,41.65,62.083333333333336,84.2,187.93333333333334,456.0,0.16666666666666663,9.883333333333333,17.047619047619047,6.647058823529412,5.545454545454546,86500.61706357471
7029,train,864,60,60,1.0,45.516666666666666,58.78333333333333,91.71666666666667,196.01666666666668,452.0,0.16666666666666663,15.466666666666667,23.181818181818183,10.55,11.5,88814.40642506283
7893,train,2000,59,60,0.9833333333333333,83.15254237288136,56.152542372881356,116.2542372881356,255.5593220338983,692.0,0.44067796610169496,44.42372881355932,36.476190476190474,45.05,53.0,103994.5853092815
9893,train,890,60,60,1.0,33.45,50.15,98.6,182.2,389.0,0.19999999999999996,7.8,8.88888888888889,12.882352941176471,3.56,92839.26842838555
10783,train,941,60,60,1.0,62.266666666666666,56.38333333333333,106.03333333333333,224.68333333333334,653.0,0.3833333333333333,35.266666666666666,47.2,31.416666666666668,26.125,98480.86977921736
11724,test,936,60,60,1.0,31.083333333333332,58.88333333333333,92.8,182.76666666666668,437.0,0.18333333333333335,16.75,23.0,9.941176470588236,15.714285714285714,91959.70528875205
11724,train,844,60,60,1.0,22.8,49.56666666666667,95.43333333333334,167.8,449.0,0.18333333333333335,11.766666666666667,21.071428571428573,10.5,7.5,85709.77361774317
12568,train,929,60,60,1.0,85.03333333333333,63.31666666666667,108.48333333333333,256.8333333333333,536.0,0.4666666666666667,49.95,41.266666666666666,59.888888888888886,42.27777777777778,96547.47020424831
13497,train,896,60,60,1.0,65.38333333333334,57.21666666666667,94.46666666666667,217.06666666666666,485.0,0.33333333333333337,28.533333333333335,14.117647058823529,32.625,36.26315789473684,93064.55074081813
14393,train,844,60,60,1.0,49.7,52.916666666666664,102.23333333333333,204.85,411.0,0.2833333333333333,21.083333333333332,11.307692307692308,22.892857142857142,25.105263157894736,90919.61164518923
